iteracja,id_czastki,x,y,fitness
14,13,7.0243,1.3485,-1000000000.0000
14,14,6.4271,1.0614,26.4000
14,15,6.4056,1.4771,26.4000
14,16,6.7741,1.2052,26.4000
14,17,6.7221,1.2258,26.4000
14,18,6.3527,1.3776,26.4000
14,19,6.7039,1.2496,26.4000
15,0,6.3264,1.2531,26.4000
15,1,6.3784,1.0912,26.4000
15,2,6.3397,1.2947,26.4000
15,3,6.7983,1.2388,26.4000
15,4,5.9272,1.2135,26.2100
15,5,6.7200,1.2329,26.4000
15,6,6.8262,1.2701,26.4000
15,7,6.7309,1.1559,26.4000
15,8,6.6872,1.3403,26.4000
15,9,6.8432,1.1598,26.4000
15,10,6.5595,1.2120,26.4000
15,11,6.7845,1.1936,26.4000
15,12,6.5848,1.1967,26.4000
15,13,6.8256,1.4317,26.4000
15,14,6.5287,1.0818,26.4000
15,15,6.5093,1.3498,26.4000
15,16,6.7963,1.1622,26.4000
15,17,6.6640,1.2192,26.4000
15,18,6.5393,1.6181,26.4000
15,19,6.5158,1.2357,26.4000
16,0,6.3867,1.2577,26.4000
16,1,6.3923,1.0404,26.4000
16,2,6.4523,1.2850,26.4000
16,3,6.7560,1.3603,26.4000
16,4,6.5125,1.2260,26.4000
16,5,6.7194,1.2326,26.4000
16,6,6.7504,1.2775,26.4000
16,7,6.7552,1.1770,26.4000
16,8,6.6187,1.2309,26.4000
16,9,6.8973,1.0394,26.4000
16,10,6.4861,1.2027,26.4000
16,11,6.7646,1.2167,26.4000
16,12,6.6283,1.2000,26.4000
16,13,6.6245,1.5050,26.4000
16,14,6.4158,1.2062,26.4000
16,15,6.7004,1.3634,26.4000
16,16,6.7927,1.1153,26.4000
16,17,6.6607,1.2147,26.4000
16,18,6.4895,1.6176,26.4000
16,19,6.4594,1.2227,26.4000
17,0,6.6722,1.2527,26.4000
17,1,6.5220,1.0221,26.4000
17,2,6.6174,1.2492,26.4000
17,3,6.8389,1.1817,26.4000
17,4,6.8450,1.2234,26.4000
17,5,6.7290,1.2328,26.4000
17,6,6.7557,1.2625,26.4000
17,7,6.7562,1.1668,26.4000
17,8,6.5889,1.2222,26.4000
17,9,6.9044,1.1092,26.4000
17,10,6.5121,1.2077,26.4000
17,11,6.7558,1.2289,26.4000
17,12,6.6216,1.1899,26.4000
17,13,6.6442,1.4805,26.4000
17,14,6.3929,1.1098,26.4000
17,15,6.7494,1.3565,26.4000
17,16,6.8834,1.1777,26.4000
17,17,6.6886,1.2105,26.4000
17,18,6.4685,1.2528,26.4000
17,19,6.5894,1.2174,26.4000
18,0,6.7268,1.2377,26.4000
18,1,6.6580,1.0718,26.4000
18,2,6.4711,1.2433,26.4000
18,3,6.8204,1.0727,26.4000
18,4,6.8858,1.1986,26.4000
18,5,6.7327,1.2329,26.4000
18,6,6.7638,1.2480,26.4000
18,7,6.7880,1.1925,26.4000
18,8,6.6127,1.2613,26.4000
18,9,6.7903,1.1817,26.4000
18,10,6.5483,1.2094,26.4000
18,11,6.7736,1.2228,26.4000
